B00001,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,,,,,,,,
B00001,dimensions,,,,,,,,
B00001,values,['Total '],,,,,,,
B25074,HOUSEHOLD INCOME BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS,,,,,,,,
B25074,dimensions,,Income,Housing Costs as % of Income ,,,,,
B25074,values,['Total:'],"['$10,000 to $19,999:', '$35,000 to $49,999:', '$50,000 to $74,999:', 'Less than $10,000:', '$20,000 to $34,999:', '$100,000 or more:', '$75,000 to $99,999:']","['', '40.0 to 49.9 percent', '25.0 to 29.9 percent', 'Not computed', 'Less than 20.0 percent', '20.0 to 24.9 percent', '50.0 percent or more', '35.0 to 39.9 percent', '30.0 to 34.9 percent']",,,,,
B25075,VALUE,,,,,,,,
B25075,dimensions,,Home Value,,,,,,
B25075,values,['Total:'],"['$175,000 to $199,999', '$10,000 to $14,999', '$50,000 to $59,999', '$15,000 to $19,999', '$40,000 to $49,999', '$30,000 to $34,999', '$25,000 to $29,999', '$125,000 to $149,999', '$200,000 to $249,999', '$20,000 to $24,999', '$60,000 to $69,999', '$150,000 to $174,999', '$90,000 to $99,999', '$70,000 to $79,999', '$250,000 to $299,999', '$100,000 to $124,999', '$35,000 to $39,999', '$300,000 to $399,999', '$1,500,000 to $1,999,999', '$80,000 to $89,999', '$400,000 to $499,999', '$750,000 to $999,999', 'Less than $10,000', '$500,000 to $749,999', '$2,000,000 or more', '$1,000,000 to $1,499,999']",,,,,,
B25076,LOWER VALUE QUARTILE ,,,,,,,,
B25076,dimensions,,,,,,,,
B25076,values,['Lower value quartile (dollars)'],,,,,,,
B25077,MEDIAN VALUE ,,,,,,,,
B25077,dimensions,,,,,,,,
B25077,values,['Median value (dollars)'],,,,,,,
B25078,UPPER VALUE QUARTILE ,,,,,,,,
B25078,dimensions,,,,,,,,
B25078,values,['Upper value quartile (dollars)'],,,,,,,
B25079,AGGREGATE VALUE  BY AGE OF HOUSEHOLDER,,,,,,,,
B25079,dimensions,,Age of Householder,,,,,,
B25079,values,['Aggregate value (dollars):'],"['Householder 35 to 64 years (dollars)', 'Householder 25 to 34 years (dollars)', 'Householder 65 years and over (dollars)', 'Householder 15 to 24 years (dollars)']",,,,,,
B25080,AGGREGATE VALUE  BY UNITS IN STRUCTURE,,,,,,,,
B25080,dimensions,,Units in Structure,,,,,,
B25080,values,['Aggregate value (dollars):'],"['Mobile home (dollars)', '5 or more (dollars)', '1, detached (dollars)', 'Boat, RV, van, etc. (dollars)', '3 or 4 (dollars)', '2 (dollars)', '1, attached (dollars)']",,,,,,
B25081,MORTGAGE STATUS,,,,,,,,
B25081,dimensions,,Mortgage,Mortgage,Mortgage,,,,
B25081,values,['Total:'],"['Housing units with a mortgage, contract to purchase, or similar debt:', 'Housing units without a mortgage']","['', 'No second mortgage and no home equity loan', 'With either a second mortgage or home equity loan, but not both:', 'Both second mortgage and home equity loan']","['Second mortgage only', '', 'Home equity loan only']",,,,
B25082,AGGREGATE VALUE  BY MORTGAGE STATUS,,,,,,,,
B25082,dimensions,,Mortgage,,,,,,
B25082,values,['Aggregate value (dollars):'],"['Housing units with a mortgage (dollars)', 'Housing units without a mortgage (dollars)']",,,,,,
B25083,MEDIAN VALUE  FOR MOBILE HOMES,,,,,,,,
B25083,dimensions,,,,,,,,
B25083,values,['Median value (dollars)'],,,,,,,
B25085,PRICE ASKED,,,,,,,,
B25085,dimensions,,Home Value,,,,,,
B25085,values,['Total:'],"['$175,000 to $199,999', '$10,000 to $14,999', '$50,000 to $59,999', '$15,000 to $19,999', '$40,000 to $49,999', '$30,000 to $34,999', '$25,000 to $29,999', '$125,000 to $149,999', '$200,000 to $249,999', '$20,000 to $24,999', '$60,000 to $69,999', '$150,000 to $174,999', '$90,000 to $99,999', '$70,000 to $79,999', '$250,000 to $299,999', '$100,000 to $124,999', '$35,000 to $39,999', '$300,000 to $399,999', '$1,500,000 to $1,999,999', '$80,000 to $89,999', '$400,000 to $499,999', '$750,000 to $999,999', 'Less than $10,000', '$500,000 to $749,999', '$2,000,000 or more', '$1,000,000 to $1,499,999']",,,,,,
B25086,AGGREGATE PRICE ASKED ,,,,,,,,
B25086,dimensions,,,,,,,,
B25086,values,['Aggregate price asked (dollars)'],,,,,,,
B25087,MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS,,,,,,,,
B25087,dimensions,,Mortgage,Housing Costs,,,,,
B25087,values,['Total:'],"['Housing units without a mortgage:', 'Housing units with a mortgage:']","['', '$3,000 to $3,499', '$300 to $349', '$1,250 to $1,499', '$800 to $899', '$2,000 to $2,499', '$1100 to $1,199', '$700 to $799', '$500 to $599', '$150 to $199', '$1200 to $1,299', '$200 to $249', '$1400 to $1,499', '$4,000 or more', 'Less than $200', '$1000 to $1,099', '$600 to $699', '$250 to $299', 'Less than $100', '$1,000 to $1,249', '$1,500 to $1,999', '$300 to $399', '$3,500 to $3,999', '$1,500 or more', '$400 to $499', '$100 to $149', '$350 to $399', '$1300 to $1,399', '$900 to $999', '$200 to $299', '$2,500 to $2,999']",,,,,
B25088,MEDIAN SELECTED MONTHLY OWNER COSTS  BY MORTGAGE STATUS,,,,,,,,
B25088,dimensions,,Mortgage,,,,,,
B25088,values,['Median selected monthly owner costs (dollars) --'],"['Housing units with a mortgage (dollars)', 'Housing units without a mortgage (dollars)', 'Total:']",,,,,,
B25089,AGGREGATE SELECTED MONTHLY OWNER COSTS  BY MORTGAGE STATUS,,,,,,,,
B25089,dimensions,,Mortgage,,,,,,
B25089,values,['Aggregate selected monthly owner costs (dollars):'],"['Housing units with a mortgage (dollars)', 'Housing units without a mortgage (dollars)']",,,,,,
B25090,MORTGAGE STATUS BY AGGREGATE REAL ESTATE TAXES PAID ,,,,,,,,
B25090,dimensions,,Housing Costs,Mortgage,,,,,
B25090,values,['Universe:  Owner-occupied housing units'],['Aggregate real estate taxes paid (dollars):'],"['Aggregate real estate taxes paid for units without a mortgage (dollars)', 'Aggregate real estate taxes paid for units with a mortgage (dollars)']",,,,,
B25091,MORTGAGE STATUS BY SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS,,,,,,,,
B25091,dimensions,,Mortgage,Housing Costs as % of Income ,,,,,
B25091,values,['Total:'],"['Housing units without a mortgage:', 'Housing units with a mortgage:']","['', '40.0 to 49.9 percent', '10.0 to 14.9 percent', 'Not computed', '20.0 to 24.9 percent', 'Less than 10.0 percent', '15.0 to 19.9 percent', '50.0 percent or more', '35.0 to 39.9 percent', '30.0 to 34.9 percent', '25.0 to 29.9 percent']",,,,,
B25092,MEDIAN SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS,,,,,,,,
B25092,dimensions,,Mortgage,,,,,,
B25092,values,['Median selected monthly owner costs as a percentage of household income in the past 12 months --'],"['Housing units with a mortgage', 'Housing units without a mortgage', 'Total:']",,,,,,
B25093,AGE OF HOUSEHOLDER BY SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS,,,,,,,,
B25093,dimensions,,Age of Householder,Housing Costs as % of Income ,,,,,
B25093,values,['Total:'],"['Householder 35 to 64 years:', 'Householder 15 to 24 years:', 'Householder 25 to 34 years:', 'Householder 65 years and over:']","['', '35.0 percent or more', 'Not computed', 'Less than 20.0 percent', '20.0 to 24.9 percent', '30.0 to 34.9 percent', '25.0 to 29.9 percent']",,,,,
B25094,SELECTED MONTHLY OWNER COSTS,,,,,,,,
B25094,dimensions,,,Housing Costs,,,,,
B25094,values,['Total:'],,"['$400 to $499', '$800 to $899', '$900 to $999', '$3,000 to $3,499', '$1,250 to $1,499', '$700 to $799', 'Less than $200', '$300 to $399', '$600 to $699', '$1,500 to $1,999', '$3,500 to $3,999', '$200 to $299', '$2,000 to $2,499', '$2,500 to $2,999', '$500 to $599', '$4,000 or more', '$1,000 to $1,249']",,,,,
B25095,HOUSEHOLD INCOME BY SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS,,,,,,,,
B25095,dimensions,,Income,Housing Costs as % of Income ,,,,,
B25095,values,['Total:'],"['$10,000 to $19,999:', '$35,000 to $49,999:', '$50,000 to $74,999:', 'Less than $10,000:', '$20,000 to $34,999:', '$150,000 or more:', '$100,000 to $149,999:', '$75,000 to $99,999:']","['', '40.0 to 49.9 percent', '25.0 to 29.9 percent', 'Not computed', 'Less than 20.0 percent', '20.0 to 24.9 percent', '50.0 percent or more', '35.0 to 39.9 percent', '30.0 to 34.9 percent']",,,,,
B25096,MORTGAGE STATUS BY VALUE,,,,,,,,
B25096,dimensions,,Mortgage,Home Value,,,,,
B25096,values,['Total:'],"['With a mortgage:', 'Not mortgaged:']","['', '$100,000 to $149,999 ', '$300,000 to $499,999 ', '$1,000,000 or more ', '$750,000 to $999,999 ', '$50,000 to $99,999 ', '$150,000 to $199,999 ', 'Less than $50,000 ', '$200,000 to $299,999 ', '$500,000 to $749,999 ']",,,,,
B25097,MORTGAGE STATUS BY MEDIAN VALUE ,,,,,,,,
B25097,dimensions,,,Mortgage,,,,,
B25097,values,['Median value --'],['Total:'],"['Median value for units without a mortgage', 'Median value for units with a mortgage']",,,,,
B25098,MORTGAGE STATUS BY HOUSEHOLD INCOME IN THE PAST 12 MONTHS ,,,,,,,,
B25098,dimensions,,Mortgage,Income,,,,,
B25098,values,['Total:'],"['With a mortgage:', 'Not mortgaged:']","['', '$150,000 or more ', '$100,000 to $149,999 ', '$75,000 to $99,999 ', '$25,000 to $34,999 ', '$10,000 to $24,999 ', 'Less than $10,000 ', '$35,000 to $49,999 ', '$150,000 or more', '$50,000 to $74,999 ']",,,,,
B25099,MORTGAGE STATUS BY MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS ,,,,,,,,
B25099,dimensions,,,Mortgage,,,,,
B25099,values,['Median household income --'],['Total:'],"['Median household income for units with a mortgage', 'Median household income for units without a mortgage']",,,,,
B25100,MORTGAGE STATUS BY RATIO OF VALUE TO HOUSEHOLD INCOME IN THE PAST 12 MONTHS,,,,,,,,
B25100,dimensions,,Mortgage,Home Value:Income,,,,,
B25100,values,['Total:'],"['With a mortgage:', 'Not mortgaged:']","['', '3.0 to 3.9', '2.0 to 2.9', 'Not computed', '4.0 or more', 'Less than 2.0']",,,,,
B25101,MORTGAGE STATUS BY MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS,,,,,,,,
B25101,dimensions,,Mortgage,Income,Housing Costs,,,,
B25101,values,['Total:'],"['With a mortgage:', 'Not mortgaged:']","['', '$35,000 to $49,999:', '$50,000 to $74,999:', 'Less than $20,000:', '$20,000 to $34,999:', 'Zero or negative income', '$75,000 or more:']","['', '30 percent or more', '20 to 29 percent', 'Less than 20 percent']",,,,
B25102,MORTGAGE STATUS BY REAL ESTATE TAXES PAID,,,,,,,,
B25102,dimensions,,Mortgage,Housing Costs,,,,,
B25102,values,['Total:'],"['With a mortgage:', 'Not mortgaged:']","['', 'Less than $800 ', 'No real estate taxes paid ', '$1,500 to $1,999', '$800 to $1,499 ', '$2,000 to $2,999', '$3,000 or more ']",,,,,
B25103,MORTGAGE STATUS BY MEDIAN REAL ESTATE TAXES PAID ,,,,,,,,
B25103,dimensions,,,Mortgage,,,,,
B25103,values,['Median real estate taxes paid --'],['Total:'],"['Median real estate taxes paid for units with a mortgage', 'Median real estate taxes paid for units without a mortgage']",,,,,
B25104,MONTHLY HOUSING COSTS,,,,,,,,
B25104,dimensions,,Housing Costs,,,,,,
B25104,values,['Total:'],"['$900 to $999 ', '$1,000 to $1,499 ', 'No cash rent', '$300 to $399 ', '$400 to $499 ', '$700 to $799 ', '$800 to $899 ', '$2,000 to $2,499 ', '$3,000 or more ', '$600 to $699 ', '$2,500 to $2,999', '$500 to $599 ', '$100 to $199 ', 'Less than $100 ', '$1,500 to $1,999 ', '$200 to $299 ']",,,,,,
B25105,MEDIAN MONTHLY HOUSING COSTS ,,,,,,,,
B25105,dimensions,,,,,,,,
B25105,values,['Median monthly housing costs'],,,,,,,
B25106,TENURE BY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS,,,,,,,,
B25106,dimensions,,Rent or Own,Income,Housing Costs,,,,
B25106,values,['Total:'],"['Owner-occupied housing units:', 'Renter-occupied housing units:']","['', '$35,000 to $49,999:', '$50,000 to $74,999:', 'Less than $20,000:', 'No cash rent', '$20,000 to $34,999:', 'Zero or negative income', '$75,000 or more:']","['', '30 percent or more', '20 to 29 percent', 'Less than 20 percent']",,,,
B25107,MEDIAN VALUE BY YEAR STRUCTURE BUILT,,,,,,,,
B25107,dimensions,,,Year Structure Built,,,,,
B25107,values,['Median value --'],['Total:'],"['Built 2014 or later', 'Built 1950 to 1959', 'Built 2000 to 2009', 'Built 1980 to 1989', 'Built 1939 or earlier', 'Built 1940 to 1949', 'Built 1970 to 1979', 'Built 2010 to 2013', 'Built 1990 to 1999', 'Built 1960 to 1969']",,,,,
B25108,AGGREGATE VALUE  BY YEAR STRUCTURE BUILT,,,,,,,,
B25108,dimensions,,Year Structure Built,,,,,,
B25108,values,['Aggregate value (dollars):'],"['Built 2014 or later', 'Built 1950 to 1959', 'Built 2000 to 2009', 'Built 1980 to 1989', 'Built 1939 or earlier', 'Built 1940 to 1949', 'Built 1970 to 1979', 'Built 2010 to 2013', 'Built 1990 to 1999', 'Built 1960 to 1969']",,,,,,
B25109,MEDIAN VALUE BY YEAR HOUSEHOLDER MOVED INTO UNIT,,,,,,,,
B25109,dimensions,,,Year Moved,,,,,
B25109,values,['Median value --'],['Total:'],"['Moved in 2000 to 2009', 'Moved in 1990 to 1999', 'Moved in 2015 or later', 'Moved in 1980 to 1989', 'Moved in 2010 to 2014', 'Moved in 1979 or earlier']",,,,,
B25110,AGGREGATE VALUE  BY YEAR HOUSEHOLDER MOVED INTO UNIT,,,,,,,,
B25110,dimensions,,Year Moved,,,,,,
B25110,values,['Aggregate value (dollars):'],"['Moved in 2000 to 2009', 'Moved in 1990 to 1999', 'Moved in 2015 or later', 'Moved in 1980 to 1989', 'Moved in 2010 to 2014', 'Moved in 1979 or earlier']",,,,,,
B25111,MEDIAN GROSS RENT BY YEAR STRUCTURE BUILT,,,,,,,,
B25111,dimensions,,,Year Structure Built,,,,,
B25111,values,['Median gross rent --'],['Total:'],"['Built 2014 or later', 'Built 1950 to 1959', 'Built 2000 to 2009', 'Built 1980 to 1989', 'Built 1939 or earlier', 'Built 1940 to 1949', 'Built 1970 to 1979', 'Built 2010 to 2013', 'Built 1990 to 1999', 'Built 1960 to 1969']",,,,,
B25112,AGGREGATE GROSS RENT  BY YEAR STRUCTURE BUILT,,,,,,,,
B25112,dimensions,,Year Structure Built,,,,,,
B25112,values,['Aggregate gross rent (dollars):'],"['Built 2014 or later', 'Built 1950 to 1959', 'Built 2000 to 2009', 'Built 1980 to 1989', 'Built 1939 or earlier', 'Built 1940 to 1949', 'Built 1970 to 1979', 'Built 2010 to 2013', 'Built 1990 to 1999', 'Built 1960 to 1969']",,,,,,
B25113,MEDIAN GROSS RENT BY YEAR HOUSEHOLDER MOVED INTO UNIT,,,,,,,,
B25113,dimensions,,,Year Moved,,,,,
B25113,values,['Median gross rent --'],['Total:'],"['Moved in 2000 to 2009', 'Moved in 1990 to 1999', 'Moved in 2015 or later', 'Moved in 1980 to 1989', 'Moved in 2010 to 2014', 'Moved in 1979 or earlier']",,,,,
B25114,AGGREGATE GROSS RENT  BY YEAR HOUSEHOLDER MOVED INTO UNIT,,,,,,,,
B25114,dimensions,,Year Moved,,,,,,
B25114,values,['Aggregate gross rent:'],"['Moved in 2000 to 2009', 'Moved in 1990 to 1999', 'Moved in 2015 or later', 'Moved in 1980 to 1989', 'Moved in 2010 to 2014', 'Moved in 1979 or earlier']",,,,,,
B25115,TENURE BY HOUSEHOLD TYPE AND PRESENCE AND AGE OF OWN CHILDREN,,,,,,,,
B25115,dimensions,,Rent or Own,Household type,Family Type,Family Type,Presence of Children,,
B25115,values,['Total:'],"['Owner occupied:', 'Renter occupied:']","['', 'Nonfamily households', 'Family households:']","['', 'Married-couple family:', 'Other family:']","['', 'Female householder, no husband present:', 'Male householder, no wife present:']","['No own children of the householder under 18 years', '', 'With own children of the householder under 18 years']",,
B25116,TENURE BY HOUSEHOLD SIZE BY AGE OF HOUSEHOLDER,,,,,,,,
B25116,dimensions,,Rent or Own,Household Size,Age of Householder,,,,
B25116,values,['Total:'],"['Owner occupied:', 'Renter occupied:']","['', '1-person household:', '2-or-more person household:']","['', 'Householder 15 to 54 years', 'Householder 55 to 64 years', 'Householder 65 to 74 years', 'Householder 75 years and over']",,,,
B25117,TENURE BY HOUSE HEATING FUEL,,,,,,,,
B25117,dimensions,,Rent or Own,Heating Fuel,,,,,
B25117,values,['Total:'],"['Owner occupied:', 'Renter occupied:']","['', 'Solar energy', 'Fuel oil, kerosene, etc.', 'Coal or coke', 'Electricity', 'Utility gas', 'No fuel used', 'Other fuel', 'Wood', 'Bottled, tank, or LP gas']",,,,,
B25118,TENURE BY HOUSEHOLD INCOME IN THE PAST 12 MONTHS ,,,,,,,,
B25118,dimensions,,Rent or Own,Income,,,,,
B25118,values,['Total:'],"['Owner occupied:', 'Renter occupied:']","['$75,000 to $99,999', 'Less than $5,000', '$5,000 to $9,999', '$10,000 to $14,999', '$35,000 to $49,999', '$25,000 to $34,999', '$100,000 to $149,999', '$15,000 to $19,999', '$50,000 to $74,999', '$20,000 to $24,999', '$150,000 or more', '']",,,,,
B25119,MEDIAN HOUSEHOLD INCOME THE PAST 12 MONTHS  BY TENURE,,,,,,,,
B25119,dimensions,,Rent or Own,,,,,,
B25119,values,['Median household income in the past 12 months (in 2015 Inflation-adjusted dollars) --'],"['Owner occupied (dollars)', 'Renter occupied (dollars)', 'Total:']",,,,,,
B25120,AGGREGATE HOUSEHOLD INCOME IN THE PAST 12 MONTHS  BY TENURE AND MORTGAGE STATUS,,,,,,,,
B25120,dimensions,,Rent or Own,Mortgage,,,,,
B25120,values,['Aggregate household income in the past 12 months (in 2015 Inflation-adjusted dollars):'],"['Owner occupied :', 'Renter occupied']","['Housing units with a mortgage', 'Housing units without a mortgage', '']",,,,,
B25121,HOUSEHOLD INCOME IN THE PAST 12 MONTHS  BY VALUE,,,,,,,,
B25121,dimensions,,,Income,Home Value,,,,
B25121,values,['Total:'],['Household income the past 12 months (in 2015 Inflation-adjusted dollars) --'],"['$10,000 to $19,999:', '$35,000 to $49,999:', '$50,000 to $74,999:', 'Less than $10,000:', '$20,000 to $34,999:', '$100,000 or more:', '$75,000 to $99,999:']","['Value $60,000 to $69,999', '', 'Value $50,000 to $59,999', 'Value less than $10,000', 'Value $20,000 to $29,999', 'Value $80,000 to $89,999', 'Value $10,000 to $19,999', 'Value $100,000 to $199,999', 'Value $500,000 or more', 'Value $70,000 to $79,999', 'Value $200,000 to $249,999', 'Value $250,000 to $499,999', 'Value $30,000 to $39,999', 'Value $40,000 to $49,999', 'Value $90,000 to $99,999']",,,,
B25122,HOUSEHOLD INCOME IN THE PAST 12 MONTHS  BY GROSS RENT,,,,,,,,
B25122,dimensions,,,Income,Rent,Rent,,,
B25122,values,['Total:'],['Household income in the past 12 months (in 2015 Inflation-adjusted dollars) --'],"['$10,000 to $19,999:', '$35,000 to $49,999:', '$50,000 to $74,999:', 'Less than $10,000:', '$20,000 to $34,999:', '$100,000 or more:', '$75,000 to $99,999:']","['', 'With cash rent:', 'No cash rent']","['', '$400 to $499', '$800 to $899', '$600 to $699', '$900 to $999', '$1,250 to $1,499', '$100 to $199', '$700 to $799', '$300 to $399', 'Less than $100', '$1,500 to $1,999', '$2,000 or more', '$200 to $299', '$500 to $599', '$1,000 to $1,249']",,,
B25123,TENURE BY SELECTED PHYSICAL AND FINANCIAL CONDITIONS,,,,,,,,
B25123,dimensions,,Rent or Own,Financial Conditions,,,,,
B25123,values,['Total:'],"['Owner occupied:', 'Renter occupied:']","['', 'With two selected conditions', 'With three selected conditions', 'No selected conditions', 'With four selected conditions', 'With one selected condition']",,,,,
B25124,TENURE BY HOUSEHOLD SIZE BY UNITS IN STRUCTURE,,,,,,,,
B25124,dimensions,,Rent or Own,Household Size,Units in Structure,,,,
B25124,values,['Total:'],"['Owner occupied:', 'Renter occupied:']","['', '1-person household:', '2-person household:', '4-person household:', '5-or-more person household:', '3-person household:']","['', '1, detached  or attached', '2 to 4', '5 to 19 ', '50 or more', 'Mobile home, boat, RV, van, etc.', '1, detached  or attached:', '20 to 49']",,,,
B25125,TENURE BY AGE OF HOUSEHOLDER BY UNITS IN STRUCTURE,,,,,,,,
B25125,dimensions,,Rent or Own,Age of Householder,Units in Structure,,,,
B25125,values,['Total:'],"['Owner occupied:', 'Renter occupied:']","['', 'Householder 15 to 34 years:', 'Householder 35 to 64 years:', 'Householder 65 years and over:']","['', '1, detached  or attached', '2 to 4', '5 to 19 ', '50 or more', 'Mobile home, boat, RV, van, etc.', '20 to 49']",,,,
B25126,TENURE BY AGE OF HOUSEHOLDER BY YEAR STRUCTURE BUILT,,,,,,,,
B25126,dimensions,,Rent or Own,Age of Householder,Year Structure Built,,,,
B25126,values,['Total:'],"['Owner occupied:', 'Renter occupied:']","['', 'Householder 15 to 34 years:', 'Householder 35 to 64 years:', 'Householder 65 years and over:']","['', 'Built 2014 or later', 'Built 1950 to 1959', 'Built 2000 to 2009', 'Built 1980 to 1989', 'Built 1939 or earlier', 'Built 1940 to 1949', 'Built 1970 to 1979', 'Built 2010 to 2013', 'Built 1990 to 1999', 'Built 1960 to 1969']",,,,
B25127,TENURE BY YEAR STRUCTURE BUILT BY UNITS IN STRUCTURE,,,,,,,,
B25127,dimensions,,Rent or Own,Year Structure Built,Units in Structure,,,,
B25127,values,['Total:'],"['Owner occupied:', 'Renter occupied:']","['', 'Built 2000 to 2009:', 'Built 1939 or earlier:', 'Built 2010 or later:', 'Built 1940 to 1959:', 'Built 1980 to 1999:', 'Built 1960 to 1979:']","['', '1, detached  or attached', '2 to 4', '5 to 19 ', '50 or more', 'Mobile home, boat, RV, van, etc.', '20 to 49']",,,,
B25128,TENURE BY AGE OF HOUSEHOLDER BY YEAR HOUSEHOLDER MOVED INTO UNIT,,,,,,,,
B25128,dimensions,,Rent or Own,Age of Householder,Year Moved,,,,
B25128,values,['Total:'],"['Owner occupied:', 'Renter occupied:']","['', 'Householder 15 to 34 years:', 'Householder 35 to 64 years:', 'Householder 65 years and over:']","['', 'Moved in 2000 to 2009', 'Moved in 1990 to 1999', 'Moved in 2015 or later', 'Moved in 1980 to 1989', 'Moved in 2010 to 2014', 'Moved in 1979 or earlier']",,,,
B25129,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT BY UNITS IN STRUCTURE,,,,,,,,
B25129,dimensions,,Rent or Own,Year Moved,Units in Structure,,,,
B25129,values,['Total:'],"['Owner occupied:', 'Renter occupied:']","['', 'Moved in 1979 or earlier:', 'Moved in 1990 to 1999:', 'Moved in 2010 or later:', 'Moved in 2000 to 2009:', 'Moved in 1980 to 1989:']","['', '1, detached  or attached', '2 to 4', '5 to 19 ', '50 or more', 'Mobile home, boat, RV, van, etc.', '20 to 49']",,,,
B26001,GROUP QUARTERS POPULATION,,,,,,,,
B26001,dimensions,,,,,,,,
B26001,values,['Total:'],,,,,,,
B27001,HEALTH INSURANCE COVERAGE STATUS BY SEX BY AGE,,,,,,,,
B27001,dimensions,,Sex,Age,Health Insurance,,,,
B27001,values,['Total:'],"['Male:', 'Female:']","['35 to 44 years:', '', '65 to 74 years:', 'Under 6 years:', '75 years and over: ', '6 to 17 years:', '55 to 64 years:', '45 to 54 years:', '25 to 34 years:', '18 to 24 years:']","['', 'No health insurance coverage', 'With health insurance coverage']",,,,
B27002,PRIVATE HEALTH INSURANCE STATUS BY SEX BY AGE,,,,,,,,
B27002,dimensions,,Sex,Age,Health Insurance,,,,
B27002,values,['Total:'],"['Male:', 'Female:']","['35 to 44 years:', '', '65 to 74 years:', 'Under 6 years:', '75 years and over: ', '6 to 17 years:', '55 to 64 years:', '45 to 54 years:', '25 to 34 years:', '18 to 24 years:']","['', 'With private health insurance', 'No private health insurance']",,,,
C27001A,HEALTH INSURANCE COVERAGE STATUS BY AGE ,,,,,,,,
C27001A,dimensions,,Age,Health Insurance,,,,,
C27001A,values,['Total:'],"['65 years and over: ', '18 to 64 years:', 'Under 18 years:']","['', 'No health insurance coverage', 'With health insurance coverage']",,,,,
C27001B,HEALTH INSURANCE COVERAGE STATUS BY AGE ,,,,,,,,
C27001B,dimensions,,Age,Health Insurance,,,,,
C27001B,values,['Total:'],"['65 years and over: ', '18 to 64 years:', 'Under 18 years:']","['', 'No health insurance coverage', 'With health insurance coverage']",,,,,
C27001C,HEALTH INSURANCE COVERAGE STATUS BY AGE ,,,,,,,,
C27001C,dimensions,,Age,Health Insurance,,,,,
C27001C,values,['Total:'],"['65 years and over: ', '18 to 64 years:', 'Under 18 years:']","['', 'No health insurance coverage', 'With health insurance coverage']",,,,,
C27001D,HEALTH INSURANCE COVERAGE STATUS BY AGE ,,,,,,,,
C27001D,dimensions,,Age,Health Insurance,,,,,
C27001D,values,['Total:'],"['65 years and over: ', '18 to 64 years:', 'Under 18 years:']","['', 'No health insurance coverage', 'With health insurance coverage']",,,,,
C27001E,HEALTH INSURANCE COVERAGE STATUS BY AGE ,,,,,,,,
C27001E,dimensions,,Age,Health Insurance,,,,,
C27001E,values,['Total:'],"['65 years and over: ', '18 to 64 years:', 'Under 18 years:']","['', 'No health insurance coverage', 'With health insurance coverage']",,,,,
C27001F,HEALTH INSURANCE COVERAGE STATUS BY AGE ,,,,,,,,
C27001F,dimensions,,Age,Health Insurance,,,,,
C27001F,values,['Total:'],"['65 years and over: ', '18 to 64 years:', 'Under 18 years:']","['', 'No health insurance coverage', 'With health insurance coverage']",,,,,
C27001G,HEALTH INSURANCE COVERAGE STATUS BY AGE ,,,,,,,,
C27001G,dimensions,,Age,Health Insurance,,,,,
C27001G,values,['Total:'],"['65 years and over: ', '18 to 64 years:', 'Under 18 years:']","['', 'No health insurance coverage', 'With health insurance coverage']",,,,,
C27001H,HEALTH INSURANCE COVERAGE STATUS BY AGE ,,,,,,,,
C27001H,dimensions,,Age,Health Insurance,,,,,
C27001H,values,['Total:'],"['65 years and over: ', '18 to 64 years:', 'Under 18 years:']","['', 'No health insurance coverage', 'With health insurance coverage']",,,,,
C27001I,HEALTH INSURANCE COVERAGE STATUS BY AGE ,,,,,,,,
C27001I,dimensions,,Age,Health Insurance,,,,,
C27001I,values,['Total:'],"['65 years and over: ', '18 to 64 years:', 'Under 18 years:']","['', 'No health insurance coverage', 'With health insurance coverage']",,,,,
B27003,PUBLIC HEALTH INSURANCE STATUS BY SEX BY AGE,,,,,,,,
B27003,dimensions,,Sex,Age,Health Insurance,,,,
B27003,values,['Total:'],"['Male:', 'Female:']","['35 to 44 years:', '', '65 to 74 years:', 'Under 6 years:', '75 years and over: ', '6 to 17 years:', '55 to 64 years:', '45 to 54 years:', '25 to 34 years:', '18 to 24 years:']","['', 'With public coverage', 'No public coverage']",,,,
C27004,EMPLOYER-BASED HEALTH INSURANCE  BY SEX BY AGE,,,,,,,,
C27004,dimensions,,Sex,Age,Health Insurance,,,,
C27004,values,['Total:'],"['Male:', 'Female:']","['', '65 years and over: ', '18 to 64 years:', 'Under 18 years:']","['', 'With employer-based health insurance', 'No employer-based health insurance']",,,,
C27005,DIRECT-PURCHASE HEALTH INSURANCE BY SEX BY AGE,,,,,,,,
