q_id,Category,Universe,Question Name
B19055,Income,households,SOCIAL SECURITY INCOME IN THE PAST 12 MONTHS FOR HOUSEHOLDS
B19056,Income,households,SUPPLEMENTAL SECURITY INCOME  IN THE PAST 12 MONTHS FOR HOUSEHOLDS
B19057,Income,households,PUBLIC ASSISTANCE INCOME IN THE PAST 12 MONTHS FOR HOUSEHOLDS
B19058,Income,households,PUBLIC ASSISTANCE INCOME OR FOOD STAMPS/SNAP IN THE PAST 12 MONTHS FOR HOUSEHOLDS
B19059,Income,households,RETIREMENT INCOME IN THE PAST 12 MONTHS FOR HOUSEHOLDS
B19060,Income,households,OTHER TYPES OF INCOME IN THE PAST 12 MONTHS FOR HOUSEHOLDS
B19061,Income,households,AGGREGATE EARNINGS IN THE PAST 12 MONTHS  FOR HOUSEHOLDS
B19062,Income,households,AGGREGATE WAGE OR SALARY INCOME IN THE PAST 12 MONTHS  FOR HOUSEHOLDS
B19063,Income,households,AGGREGATE SELF-EMPLOYMENT INCOME IN THE PAST 12 MONTHS  FOR HOUSEHOLDS
B19064,Income,households,"AGGREGATE INTEREST, DIVIDENDS, OR NET RENTAL INCOME IN THE PAST 12 MONTHS  FOR HOUSEHOLDS"
B19065,Income,households,AGGREGATE SOCIAL SECURITY INCOME IN THE PAST 12 MONTHS  FOR HOUSEHOLDS
B19066,Income,households,AGGREGATE SUPPLEMENTAL SECURITY INCOME  IN THE PAST 12 MONTHS  FOR HOUSEHOLDS
B19067,Income,households,AGGREGATE PUBLIC ASSISTANCE INCOME IN THE PAST 12 MONTHS  FOR HOUSEHOLDS
B19069,Income,households,AGGREGATE RETIREMENT INCOME IN THE PAST 12 MONTHS  FOR HOUSEHOLDS
B19070,Income,households,AGGREGATE OTHER TYPES OF INCOME IN THE PAST 12 MONTHS  FOR HOUSEHOLDS
B19080,Income,universe: households,HOUSEHOLD INCOME QUINTILE UPPER LIMITS
B19081,Income,universe: households,MEAN HOUSEHOLD INCOME OF QUINTILES
B19082,Income,universe: households,SHARES OF AGGREGATE HOUSEHOLD INCOME BY QUINTILE
B19083,Income,universe: households,GINI INDEX OF INCOME INEQUALITY
B19101,Income,families,FAMILY INCOME IN THE PAST 12 MONTHS 
B19101A,Income,families with a householder who is white alone,FAMILY INCOME IN THE PAST 12 MONTHS  
B19101B,Income,families with a householder who is black or african american alone,FAMILY INCOME IN THE PAST 12 MONTHS  
B19101C,Income,families with a householder who is american indian and alaska native alone,FAMILY INCOME IN THE PAST 12 MONTHS  
B19101D,Income,families with a householder who is asian alone,FAMILY INCOME IN THE PAST 12 MONTHS  
B19101E,Income,families with a householder who is native hawaiian and other pacific islander alone,FAMILY INCOME IN THE PAST 12 MONTHS  
B19101F,Income,families with a householder who is some other race alone,FAMILY INCOME IN THE PAST 12 MONTHS  
B19101G,Income,families with a householder who is two or more races,FAMILY INCOME IN THE PAST 12 MONTHS  
B19101H,Income,"families with a householder who is white alone, not hispanic or latino",FAMILY INCOME IN THE PAST 12 MONTHS  
B19101I,Income,families with a householder who is hispanic or latino,FAMILY INCOME IN THE PAST 12 MONTHS  
B19113,Income,families,MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS 
B19113A,Income,families with a householder who is white alone,MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS  
B19113B,Income,families with a householder who is black or african american alone,MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS  
B19113C,Income,families with a householder who is american indian and alaska native alone,MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS  
B19113D,Income,families with a householder who is asian alone,MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS  
B19113E,Income,families with a householder who is native hawaiian and other pacific islander alone,MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS  
B19113F,Income,families with a householder who is some other race alone,MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS  
B19113G,Income,families with a householder who is two or more races,MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS  
B19113H,Income,"families with a householder who is white alone, not hispanic or latino",MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS  
B19113I,Income,families with a householder who is hispanic or latino,MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS  
B19119,Income,families,MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS  BY FAMILY SIZE
B19121,Income,families,MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS  BY NUMBER OF EARNERS IN FAMILY
B19125,Income,families,MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS  BY PRESENCE OF OWN CHILDREN UNDER 18 YEARS
B19126,Income,families,MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS  BY FAMILY TYPE BY PRESENCE OF OWN CHILDREN UNDER 18 YEARS
B19127,Income,families,AGGREGATE FAMILY INCOME IN THE PAST 12 MONTHS 
B19128,Income,families,AGGREGATE FAMILY INCOME IN THE PAST 12 MONTHS  BY FAMILY TYPE BY PRESENCE OF OWN CHILDREN UNDER 18 YEARS
B19129,Income,families,AGGREGATE FAMILY INCOME IN THE PAST 12 MONTHS  BY NUMBER OF WORKERS IN FAMILY
B19130,Income,families,AGGREGATE FAMILY INCOME IN THE PAST 12 MONTHS  BY FAMILY TYPE BY AGE OF HOUSEHOLDER
B19131,Income,families,FAMILY TYPE BY PRESENCE OF OWN CHILDREN UNDER 18 YEARS BY FAMILY INCOME IN THE PAST 12 MONTHS 
B19201,Income,nonfamily households,NONFAMILY HOUSEHOLD INCOME IN THE PAST 12 MONTHS 
B19202,Income,nonfamily households,MEDIAN NONFAMILY HOUSEHOLD INCOME IN THE PAST 12 MONTHS 
B19202A,Income,nonfamily households with a householder who is white alone,MEDIAN NONFAMILY HOUSEHOLD INCOME IN THE PAST 12 MONTHS  
B19202B,Income,nonfamily households with a householder who is black or african american alone,MEDIAN NONFAMILY HOUSEHOLD INCOME IN THE PAST 12 MONTHS  
B19202C,Income,nonfamily households with householder who is american indian and alaska native alone,MEDIAN NONFAMILY HOUSEHOLD INCOME IN THE PAST 12 MONTHS  
B19202D,Income,nonfamily households with a householder who is asian alone,MEDIAN NONFAMILY HOUSEHOLD INCOME IN THE PAST 12 MONTHS  
B19202E,Income,nonfamily households with a householder who is native hawaiian and other pacific islander alone,MEDIAN NONFAMILY HOUSEHOLD INCOME IN THE PAST 12 MONTHS  
B19202F,Income,nonfamily households with a householder who is some other race alone,MEDIAN NONFAMILY HOUSEHOLD INCOME IN THE PAST 12 MONTHS  
B19202G,Income,nonfamily households with a householder who is two or more races,MEDIAN NONFAMILY HOUSEHOLD INCOME IN THE PAST 12 MONTHS  
B19202H,Income,"nonfamily households with a householder who is white alone, not hispanic or latino",MEDIAN NONFAMILY HOUSEHOLD INCOME IN THE PAST 12 MONTHS  
B19202I,Income,nonfamily households with a householder who is hispanic or latino,MEDIAN NONFAMILY HOUSEHOLD INCOME IN THE PAST 12 MONTHS  
B19214,Income,nonfamily households,AGGREGATE NONFAMILY HOUSEHOLD INCOME IN THE PAST 12 MONTHS 
B19215,Income,nonfamily households,MEDIAN NONFAMILY HOUSEHOLD INCOME IN THE PAST 12 MONTHS  BY SEX OF HOUSEHOLDER BY LIVING ALONE BY AGE OF HOUSEHOLDER
B19216,Income,nonfamily households,AGGREGATE NONFAMILY HOUSEHOLD INCOME IN THE PAST 12 MONTHS  BY SEX OF HOUSEHOLDER BY LIVING ALONE BY AGE OF HOUSEHOLDER
B19301,Income,total population,PER CAPITA INCOME IN THE PAST 12 MONTHS 
B19301A,Income,people who are white alone,PER CAPITA INCOME IN THE PAST 12 MONTHS  
B19301B,Income,people who are black or african american alone,PER CAPITA INCOME IN THE PAST 12 MONTHS  
B19301C,Income,people who are american indian and alaska native alone,PER CAPITA INCOME IN THE PAST 12 MONTHS  
B19301D,Income,people who are asian alone,PER CAPITA INCOME IN THE PAST 12 MONTHS  
B19301E,Income,people who are native hawaiian and other pacific islander alone,PER CAPITA INCOME IN THE PAST 12 MONTHS  
B19301F,Income,people who are some other race alone,PER CAPITA INCOME IN THE PAST 12 MONTHS  
B19301G,Income,two or more races population,PER CAPITA INCOME IN THE PAST 12 MONTHS  
B19301H,Income,"white alone, not hispanic or latino population",PER CAPITA INCOME IN THE PAST 12 MONTHS  
B19301I,Income,people who are hispanic or latino,PER CAPITA INCOME IN THE PAST 12 MONTHS  
B19313,Income,population 15 years and over,AGGREGATE INCOME IN THE PAST 12 MONTHS 
B19313A,Income,white alone population 15 years and over,AGGREGATE INCOME IN THE PAST 12 MONTHS  FOR THE POPULATION 15 YEARS AND OVER 
B19313B,Income,black or african american alone population 15 years and over,AGGREGATE INCOME IN THE PAST 12 MONTHS  FOR THE POPULATION 15 YEARS AND OVER 
B19313C,Income,american indian and alaska native alone population 15 years and over,AGGREGATE INCOME IN THE PAST 12 MONTHS  FOR THE POPULATION 15 YEARS AND OVER 
B19313D,Income,asian alone population 15 years and over,AGGREGATE INCOME IN THE PAST 12 MONTHS  FOR THE POPULATION 15 YEARS AND OVER 
B19313E,Income,native hawaiian and other pacific islander alone population 15 years and over,AGGREGATE INCOME IN THE PAST 12 MONTHS  FOR THE POPULATION 15 YEARS AND OVER 
B19313F,Income,some other race alone population 15 years and over,AGGREGATE INCOME IN THE PAST 12 MONTHS  FOR THE POPULATION 15 YEARS AND OVER 
B19313G,Income,two or more races population 15 years and over,AGGREGATE INCOME IN THE PAST 12 MONTHS  FOR THE POPULATION 15 YEARS AND OVER 
B19313H,Income,"white alone, not hispanic or latino population 15 years and over",AGGREGATE INCOME IN THE PAST 12 MONTHS  FOR THE POPULATION 15 YEARS AND OVER 
B19313I,Income,hispanic or latino population 15 years and over,AGGREGATE INCOME IN THE PAST 12 MONTHS  FOR THE POPULATION 15 YEARS AND OVER 
B19325,Income,population 15 years and over,SEX BY WORK EXPERIENCE IN THE PAST 12 MONTHS BY INCOME IN THE PAST 12 MONTHS  FOR THE POPULATION 15 YEARS AND OVER
B19326,Income,population 15 years and over with income in the past 12 months,MEDIAN INCOME IN THE PAST 12 MONTHS  BY SEX BY WORK EXPERIENCE IN THE PAST 12 MONTHS FOR THE POPULATION 15 YEARS AND OVER WITH INCOME
B20001,Earnings,population 16 years and over with earnings,SEX BY EARNINGS IN THE PAST 12 MONTHS  FOR THE POPULATION 16 YEARS AND OVER WITH EARNINGS IN THE PAST 12 MONTHS
B20002,Earnings,population 16 years and over with earnings,MEDIAN EARNINGS IN THE PAST 12 MONTHS  BY SEX FOR THE POPULATION 16 YEARS AND OVER WITH EARNINGS IN THE PAST 12 MONTHS
B20003,Earnings,population 16 years and over with earnings,AGGREGATE EARNINGS IN THE PAST 12 MONTHS  BY SEX BY WORK EXPERIENCE FOR THE POPULATION 16 YEARS AND OVER WITH EARNINGS
B20004,Earnings,population 25 years and over with earnings,MEDIAN EARNINGS IN THE PAST 12 MONTHS  BY SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
B20005,Earnings,population 16 years and over,SEX BY WORK EXPERIENCE IN THE PAST 12 MONTHS BY EARNINGS IN THE PAST 12 MONTHS  FOR THE POPULATION 16 YEARS AND OVER
B20005A,Earnings,white alone population 16 years and over,SEX BY WORK EXPERIENCE IN THE PAST 12 MONTHS BY EARNINGS IN THE PAST 12 MONTHS  FOR THE POPULATION 16 YEARS AND OVER 
B20005B,Earnings,black or african american alone population 16 years and over,SEX BY WORK EXPERIENCE IN THE PAST 12 MONTHS BY EARNINGS IN THE PAST 12 MONTHS  FOR THE POPULATION 16 YEARS AND OVER 
B20005C,Earnings,american indian and alaska native alone population 16 years and over,SEX BY WORK EXPERIENCE IN THE PAST 12 MONTHS BY EARNINGS IN THE PAST 12 MONTHS  FOR THE POPULATION 16 YEARS AND OVER 
B20005D,Earnings,asian alone population 16 years and over,SEX BY WORK EXPERIENCE IN THE PAST 12 MONTHS BY EARNINGS IN THE PAST 12 MONTHS  FOR THE POPULATION 16 YEARS AND OVER 
B20005E,Earnings,native hawaiian and other pacific islander alone population 16 years and over,SEX BY WORK EXPERIENCE IN THE PAST 12 MONTHS BY EARNINGS IN THE PAST 12 MONTHS  FOR THE POPULATION 16 YEARS AND OVER 
B20005F,Earnings,some other race alone population 16 years and over,SEX BY WORK EXPERIENCE IN THE PAST 12 MONTHS BY EARNINGS IN THE PAST 12 MONTHS  FOR THE POPULATION 16 YEARS AND OVER 
B20005G,Earnings,two or more races population 16 years and over,SEX BY WORK EXPERIENCE IN THE PAST 12 MONTHS BY EARNINGS IN THE PAST 12 MONTHS  FOR THE POPULATION 16 YEARS AND OVER 
B20005H,Earnings,"white alone, not hispanic or latino population 16 years and over",SEX BY WORK EXPERIENCE IN THE PAST 12 MONTHS BY EARNINGS IN THE PAST 12 MONTHS  FOR THE POPULATION 16 YEARS AND OVER 
B20005I,Earnings,hispanic or latino population 16 years and over,SEX BY WORK EXPERIENCE IN THE PAST 12 MONTHS BY EARNINGS IN THE PAST 12 MONTHS  FOR THE POPULATION 16 YEARS AND OVER 
B20017,Earnings,population 16 years and over with earnings,MEDIAN EARNINGS IN THE PAST 12 MONTHS  BY SEX BY WORK EXPERIENCE IN THE PAST 12 MONTHS FOR THE POPULATION 16 YEARS AND OVER WITH EARNINGS IN THE PAST 12 MONTHS
B20017A,Earnings,white alone population 16 years and over with earnings in the past 12 months,MEDIAN EARNINGS IN THE PAST 12 MONTHS  BY SEX BY WORK EXPERIENCE IN THE PAST 12 MONTHS FOR THE POPULATION 16 YEARS AND OVER WITH EARNINGS IN THE PAST 12 MONTHS 
B20017B,Earnings,black or african american alone population 16 years and over with earnings in the past 12 months,MEDIAN EARNINGS IN THE PAST 12 MONTHS  BY SEX BY WORK EXPERIENCE IN THE PAST 12 MONTHS FOR THE POPULATION 16 YEARS AND OVER WITH EARNINGS IN THE PAST 12 MONTHS 
B20017C,Earnings,american indian and alaska native alone population 16 years and over with earnings in the past 12 months,MEDIAN EARNINGS IN THE PAST 12 MONTHS  BY SEX BY WORK EXPERIENCE IN THE PAST 12 MONTHS FOR THE POPULATION 16 YEARS AND OVER WITH EARNINGS IN THE PAST 12 MONTHS 
B20017D,Earnings,asian alone population 16 years and over with earnings in the past 12 months,MEDIAN EARNINGS IN THE PAST 12 MONTHS  BY SEX BY WORK EXPERIENCE IN THE PAST 12 MONTHS FOR THE POPULATION 16 YEARS AND OVER WITH EARNINGS IN THE PAST 12 MONTHS 
B20017E,Earnings,native hawaiian and other pacific islander alone population 16 years and over with earnings in the past 12 months,MEDIAN EARNINGS IN THE PAST 12 MONTHS  BY SEX BY WORK EXPERIENCE IN THE PAST 12 MONTHS FOR THE POPULATION 16 YEARS AND OVER WITH EARNINGS IN THE PAST 12 MONTHS 
B20017F,Earnings,some other race alone population 16 years and over with earnings in the past 12 months,MEDIAN EARNINGS IN THE PAST 12 MONTHS  BY SEX BY WORK EXPERIENCE IN THE PAST 12 MONTHS FOR THE POPULATION 16 YEARS AND OVER WITH EARNINGS IN THE PAST 12 MONTHS 
B20017G,Earnings,two or more races population 16 years and over with earnings in the past 12 months,MEDIAN EARNINGS IN THE PAST 12 MONTHS  BY SEX BY WORK EXPERIENCE IN THE PAST 12 MONTHS FOR THE POPULATION 16 YEARS AND OVER WITH EARNINGS IN THE PAST 12 MONTHS 
B20017H,Earnings,"white alone, not hispanic or latino population 16 years and over with earnings in the past 12 months",MEDIAN EARNINGS IN THE PAST 12 MONTHS  BY SEX BY WORK EXPERIENCE IN THE PAST 12 MONTHS FOR THE POPULATION 16 YEARS AND OVER WITH EARNINGS IN THE PAST 12 MONTHS 
B20017I,Earnings,hispanic or latino population 16 years and over with earnings in the past 12 months,MEDIAN EARNINGS IN THE PAST 12 MONTHS  BY SEX BY WORK EXPERIENCE IN THE PAST 12 MONTHS FOR THE POPULATION 16 YEARS AND OVER WITH EARNINGS 
B21001,Veteran Status,civilian population 18 years and over,SEX BY AGE BY VETERAN STATUS FOR THE CIVILIAN POPULATION 18 YEARS AND OVER
B21002,Veteran Status,civilian veterans 18 years and over,PERIOD OF MILITARY SERVICE FOR CIVILIAN VETERANS 18 YEARS AND OVER
B21003,Veteran Status,civilian population 25 years and over,VETERAN STATUS BY EDUCATIONAL ATTAINMENT FOR THE CIVILIAN POPULATION 25 YEARS AND OVER
B21004,Veteran Status,civilian population 18 years and over with income in the past 12 months,MEDIAN INCOME IN THE PAST 12 MONTHS  BY VETERAN STATUS BY SEX FOR THE CIVILIAN POPULATION 18 YEARS AND OVER WITH INCOME
B21005,Veteran Status,civilian population 18 to 64 years,AGE BY VETERAN STATUS BY EMPLOYMENT STATUS FOR THE CIVILIAN POPULATION 18 TO 64 YEARS
C21001A,Veteran Status,universe: white alone civilian population 18 years and over,SEX BY AGE BY VETERAN STATUS FOR THE CIVILIAN POPULATION 18 YEARS AND OVER 
C21001B,Veteran Status,universe: black or african american alone civilian population 18 years and over,SEX BY AGE BY VETERAN STATUS FOR THE CIVILIAN POPULATION 18 YEARS AND OVER 
C21001C,Veteran Status,universe: american indian and alaska native alone civilian population 18 years and over,SEX BY AGE BY VETERAN STATUS FOR THE CIVILIAN POPULATION 18 YEARS AND OVER 
C21001D,Veteran Status,universe: asian alone civilian population 18 years and over,SEX BY AGE BY VETERAN STATUS FOR THE CIVILIAN POPULATION 18 YEARS AND OVER 
C21001E,Veteran Status,universe: native hawaiian and other pacific islander alone civilian population 18 years and over,SEX BY AGE BY VETERAN STATUS FOR THE CIVILIAN POPULATION 18 YEARS AND OVER 
C21001F,Veteran Status,universe: some other race alone civilian population 18 years and over,SEX BY AGE BY VETERAN STATUS FOR THE CIVILIAN POPULATION 18 YEARS AND OVER 
C21001G,Veteran Status,universe: two or more races civilian population 18 years and over,SEX BY AGE BY VETERAN STATUS FOR THE CIVILIAN POPULATION 18 YEARS AND OVER 
C21001H,Veteran Status,"universe: white alone, not hispanic or latino civilian population 18 years and over",SEX BY AGE BY VETERAN STATUS FOR THE CIVILIAN POPULATION 18 YEARS AND OVER 
C21001I,Veteran Status,universe: hispanic or latino civilian population 18 years and over,SEX BY AGE BY VETERAN STATUS FOR THE CIVILIAN POPULATION 18 YEARS AND OVER 
B21100,Veteran Status,civilian veterans 18 years and over,SERVICE-CONNECTED DISABILITY-RATING STATUS AND RATINGS FOR CIVILIAN VETERANS 18 YEARS AND OVER
C21007,Veteran Status,civilian population 18 years and over for whom poverty status is determined,AGE BY VETERAN STATUS BY POVERTY STATUS IN THE PAST 12 MONTHS BY DISABILITY STATUS FOR THE CIVILIAN POPULATION 18 YEARS AND OVER
B22001,Transfer Programs,households,RECEIPT OF FOOD STAMPS/SNAP IN THE PAST 12 MONTHS BY PRESENCE OF PEOPLE 60 YEARS AND OVER FOR HOUSEHOLDS
B22002,Transfer Programs,households,RECEIPT OF FOOD STAMPS/SNAP IN THE PAST 12 MONTHS BY PRESENCE OF CHILDREN UNDER 18 YEARS BY HOUSEHOLD TYPE FOR HOUSEHOLDS
B22003,Transfer Programs,households,RECEIPT OF FOOD STAMPS/SNAP IN THE PAST 12 MONTHS BY POVERTY STATUS IN THE PAST 12 MONTHS FOR HOUSEHOLDS
B22005A,Transfer Programs,households with a householder who is white alone,RECEIPT OF FOOD STAMPS/SNAP IN THE PAST 12 MONTHS BY RACE OF HOUSEHOLDER 
B22005B,Transfer Programs,households with a householder who is black or african american alone,RECEIPT OF FOOD STAMPS/SNAP IN THE PAST 12 MONTHS BY RACE OF HOUSEHOLDER 
B22005C,Transfer Programs,households with a householder who is american indian and alaska native alone,RECEIPT OF FOOD STAMPS/SNAP IN THE PAST 12 MONTHS BY RACE OF HOUSEHOLDER 
B22005D,Transfer Programs,households with a householder who is asian alone,RECEIPT OF FOOD STAMPS/SNAP IN THE PAST 12 MONTHS BY RACE OF HOUSEHOLDER 
B22005E,Transfer Programs,households with a householder who is native hawaiian and other pacific islander alone,RECEIPT OF FOOD STAMPS/SNAP IN THE PAST 12 MONTHS BY RACE OF HOUSEHOLDER 
B22005F,Transfer Programs,households with a householder who is some other race alone,RECEIPT OF FOOD STAMPS/SNAP IN THE PAST 12 MONTHS BY RACE OF HOUSEHOLDER 
B22005G,Transfer Programs,households with a householder who is two or more races,RECEIPT OF FOOD STAMPS/SNAP IN THE PAST 12 MONTHS BY RACE OF HOUSEHOLDER 
B22005H,Transfer Programs,"households with a householder who is white alone, not hispanic or latino",RECEIPT OF FOOD STAMPS/SNAP IN THE PAST 12 MONTHS BY RACE OF HOUSEHOLDER 
B22005I,Transfer Programs,households with a householder who is hispanic or latino,RECEIPT OF FOOD STAMPS/SNAP IN THE PAST 12 MONTHS BY RACE OF HOUSEHOLDER 
B22007,Transfer Programs,families,RECEIPT OF FOOD STAMPS/SNAP IN THE PAST 12 MONTHS BY FAMILY TYPE BY NUMBER OF WORKERS IN FAMILY IN THE PAST 12 MONTHS
B22008,Transfer Programs,households,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS  BY RECEIPT OF FOOD STAMPS/SNAP IN THE PAST 12 MONTHS
B22010,Transfer Programs,households,RECEIPT OF FOOD STAMPS/SNAP IN THE PAST 12 MONTHS BY DISABILITY STATUS FOR HOUSEHOLDS
B23001,Employment Status,population 16 years and over,SEX BY AGE BY EMPLOYMENT STATUS FOR THE POPULATION 16 YEARS AND OVER
C23002A,Employment Status,white alone population 16 years and over,SEX BY AGE BY EMPLOYMENT STATUS FOR THE POPULATION 16 YEARS AND OVER 
C23002B,Employment Status,black or african american alone population 16 years and over,SEX BY AGE BY EMPLOYMENT STATUS FOR THE POPULATION 16 YEARS AND OVER 
B23003,Employment Status,females 20 to 64 years in households,PRESENCE OF OWN CHILDREN UNDER 18 YEARS BY AGE OF OWN CHILDREN UNDER 18 YEARS BY EMPLOYMENT STATUS FOR FEMALES 20 TO 64 YEARS
C23002C,Employment Status,american indian and alaska native alone population 16 years and over,SEX BY AGE BY EMPLOYMENT STATUS FOR THE POPULATION 16 YEARS AND OVER 
C23002D,Employment Status,asian alone population 16 years and over,SEX BY AGE BY EMPLOYMENT STATUS FOR THE POPULATION 16 YEARS AND OVER 
C23002E,Employment Status,native hawaiian and other pacific islander alone population 16 years and over,SEX BY AGE BY EMPLOYMENT STATUS FOR THE POPULATION 16 YEARS AND OVER 
C23002F,Employment Status,some other race alone population 16 years and over,SEX BY AGE BY EMPLOYMENT STATUS FOR THE POPULATION 16 YEARS AND OVER 
C23002G,Employment Status,two or more races population 16 years and over,SEX BY AGE BY EMPLOYMENT STATUS FOR THE POPULATION 16 YEARS AND OVER 
C23002H,Employment Status,"white alone, not hispanic or latino population 16 years and over",SEX BY AGE BY EMPLOYMENT STATUS FOR THE POPULATION 16 YEARS AND OVER 
C23002I,Employment Status,hispanic or latino population 16 years and over,SEX BY AGE BY EMPLOYMENT STATUS FOR THE POPULATION 16 YEARS AND OVER 
B23006,Employment Status,population 25 to 64 years,EDUCATIONAL ATTAINMENT BY EMPLOYMENT STATUS FOR THE POPULATION 25 TO 64 YEARS
B23007,Employment Status,opposite-sex married-couple families and families maintained by women and men with no spouse present,PRESENCE OF OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE BY EMPLOYMENT STATUS
B23008,Employment Status,own children under 18 years in families and subfamilies,AGE OF OWN CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY LIVING ARRANGEMENTS BY EMPLOYMENT STATUS OF PARENTS
B23009,Employment Status,families,PRESENCE OF OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE BY NUMBER OF WORKERS IN FAMILY IN THE PAST 12 MONTHS
B23010,Employment Status,married-couple families,PRESENCE OF OWN CHILDREN UNDER 18 YEARS IN MARRIED-COUPLE FAMILIES BY WORK EXPERIENCE OF HOUSEHOLDER AND SPOUSE
B23013,Employment Status,population 16 to 64 years who have worked in the past 12 months,MEDIAN AGE BY SEX FOR WORKERS 16 TO 64 YEARS
B23018,Employment Status,population 16 to 64 years who have worked in the past 12 months,AGGREGATE USUAL HOURS WORKED IN THE PAST 12 MONTHS BY SEX FOR WORKERS 16 TO 64 YEARS
B23020,Employment Status,population 16 to 64 years who have worked in the past 12 months,MEAN USUAL HOURS WORKED IN THE PAST 12 MONTHS FOR WORKERS 16 TO 64 YEARS
B23022,Employment Status,population 16 to 64 years,SEX BY WORK STATUS IN THE PAST 12 MONTHS BY USUAL HOURS WORKED PER WEEK IN THE PAST 12 MONTHS BY WEEKS WORKED IN THE PAST 12 MONTHS FOR THE POPULATION 16 TO 64 YEARS
B23024,Employment Status,population 20 to 64 years for whom poverty status is determined,POVERTY STATUS IN THE PAST 12 MONTHS BY DISABILITY STATUS BY EMPLOYMENT STATUS FOR THE POPULATION 20 TO 64 YEARS
B23025,Employment Status,population 16 years and over,EMPLOYMENT STATUS FOR THE POPULATION 16 YEARS AND OVER
B23026,Employment Status,universe: civilian population 65 years and over,SEX BY WORK STATUS IN THE PAST 12 MONTHS BY USUAL HOURS WORKED PER WEEK IN THE PAST 12 MONTHS BY WEEKS WORKED IN THE PAST 12 MONTHS FOR THE POPULATION 65 YEARS AND OVER
B23027,Employment Status,universe: population 16 years and over,"FULL-TIME, YEAR-ROUND WORK STATUS IN THE PAST 12 MONTHS BY AGE FOR THE POPULATION 16 YEARS AND OVER"
B24011,Industry-Occupation-Class of Worker,civilian employed population 16 years and over with earnings,OCCUPATION BY MEDIAN EARNINGS IN THE PAST 12 MONTHS  FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER
C24010,Industry-Occupation-Class of Worker,civilian employed population 16 years and over,SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER
C24010A,Industry-Occupation-Class of Worker,civilian employed white alone population 16 years and over,SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER 
C24010B,Industry-Occupation-Class of Worker,civilian employed black or african american alone population 16 years and over,SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER 
C24010C,Industry-Occupation-Class of Worker,civilian employed american indian and alaska native alone population 16 years and over,SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER 
C24010D,Industry-Occupation-Class of Worker,civilian employed asian alone population 16 years and over,SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER 
C24010E,Industry-Occupation-Class of Worker,civilian employed native hawaiian and other pacific islander alone population 16 years and over,SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER 
C24010F,Industry-Occupation-Class of Worker,civilian employed some other race alone population 16 years and over,SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER 
C24010G,Industry-Occupation-Class of Worker,civilian employed two or more races population 16 years and over,SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER 
C24010H,Industry-Occupation-Class of Worker,"civilian employed white alone, not hispanic or latino population 16 years and over",SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER 
C24010I,Industry-Occupation-Class of Worker,civilian employed hispanic or latino population 16 years and over,SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER 
B24012,Industry-Occupation-Class of Worker,civilian employed population 16 years and over with earnings,SEX BY OCCUPATION AND MEDIAN EARNINGS IN THE PAST 12 MONTHS  FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER
B24021,Industry-Occupation-Class of Worker,"full-time, year-round civilian employed population 16 years and over with earnings","OCCUPATION BY MEDIAN EARNINGS IN THE PAST 12 MONTHS  FOR THE FULL-TIME, YEAR-ROUND CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER"
